Low,High,Open,Close,Volume,highest_bid_price,highest_bid_quantity,lowest_ask_price,lowest_ask_quantity,Spread,Mid_price,Market_depth
201.0,235.0,202.0,203.0,13939.0,179.0,5.0,203.0,2.0,24.0,191.0,663.0
201.0,237.0,233.0,237.0,6958.0,237.0,6.0,239.0,2.0,2.0,238.0,629.0
201.0,236.0,218.0,232.0,13740.0,232.0,7.0,333.0,1.0,101.0,282.5,620.0
196.0,232.0,232.0,226.0,14006.0,226.0,10.0,242.0,1.0,16.0,234.0,681.0
184.0,226.0,226.0,204.0,14035.0,215.0,5.0,256.0,1.0,41.0,235.5,673.0
183.0,217.0,193.0,213.0,13824.0,214.0,5.0,238.0,1.0,24.0,226.0,733.0
174.0,214.0,213.0,207.0,13932.0,207.0,7.0,226.0,2.0,19.0,216.5,650.0
169.0,207.0,207.0,171.0,14050.0,152.0,5.0,171.0,1.0,19.0,161.5,736.0
168.0,202.0,171.0,197.0,13761.0,197.0,5.0,231.0,2.0,34.0,214.0,752.0
160.0,199.0,198.0,191.0,14032.0,191.0,5.0,522.0,1.0,331.0,356.5,781.0
157.0,192.0,192.0,158.0,7006.0,120.0,5.0,158.0,1.0,38.0,139.0,643.0
157.0,193.0,178.0,192.0,14100.0,192.0,13.0,208.0,2.0,16.0,200.0,676.0
160.0,194.0,192.0,183.0,13985.0,183.0,4.0,194.0,1.0,11.0,188.5,698.0
157.0,191.0,191.0,190.0,13933.0,191.0,6.0,192.0,1.0,1.0,191.5,679.0
161.0,193.0,191.0,178.0,14050.0,184.0,5.0,185.0,1.0,1.0,184.5,711.0
159.0,193.0,178.0,159.0,14111.0,158.0,3.0,159.0,1.0,1.0,158.5,753.0
156.0,191.0,159.0,185.0,14009.0,185.0,5.0,186.0,1.0,1.0,185.5,559.0
156.0,189.0,186.0,189.0,13963.0,189.0,5.0,190.0,1.0,1.0,189.5,759.0
156.0,189.0,188.0,178.0,14141.0,185.0,5.0,186.0,1.0,1.0,185.5,752.0
157.0,188.0,163.0,184.0,7019.0,184.0,7.0,185.0,1.0,1.0,184.5,756.0
156.0,192.0,182.0,191.0,13990.0,191.0,16.0,196.0,2.0,5.0,193.5,654.0
162.0,200.0,192.0,198.0,14020.0,199.0,5.0,219.0,1.0,20.0,209.0,777.0
168.0,202.0,199.0,202.0,14027.0,202.0,5.0,203.0,1.0,1.0,202.5,371.0
171.0,205.0,202.0,172.0,13861.0,150.0,2.0,172.0,1.0,22.0,161.0,628.0
172.0,206.0,172.0,205.0,13899.0,204.0,5.0,205.0,1.0,1.0,204.5,719.0
175.0,208.0,204.0,176.0,14045.0,175.0,4.0,176.0,1.0,1.0,175.5,636.0
176.0,210.0,176.0,204.0,13995.0,204.0,6.0,205.0,1.0,1.0,204.5,711.0
177.0,215.0,203.0,214.0,13911.0,214.0,12.0,274.0,1.0,60.0,244.0,716.0
183.0,217.0,214.0,213.0,6932.0,212.0,5.0,213.0,1.0,1.0,212.5,635.0
184.0,217.0,187.0,198.0,13855.0,183.0,5.0,198.0,1.0,15.0,190.5,782.0
183.0,216.0,186.0,185.0,13941.0,101.0,2.0,185.0,1.0,84.0,143.0,634.0
183.0,216.0,185.0,216.0,13987.0,216.0,7.0,235.0,1.0,19.0,225.5,749.0
177.0,216.0,216.0,201.0,13820.0,208.0,4.0,216.0,1.0,8.0,212.0,703.0
178.0,211.0,209.0,210.0,13898.0,210.0,13.0,251.0,1.0,41.0,230.5,687.0
175.0,211.0,210.0,205.0,13933.0,205.0,5.0,228.0,1.0,23.0,216.5,722.0
174.0,208.0,207.0,176.0,14033.0,170.0,5.0,176.0,2.0,6.0,173.0,717.0
173.0,208.0,176.0,199.0,14149.0,178.0,5.0,182.0,1.0,4.0,180.0,481.0
174.0,208.0,179.0,202.0,7027.0,202.0,7.0,213.0,1.0,11.0,207.5,446.0
168.0,203.0,180.0,196.0,14012.0,197.0,8.0,217.0,1.0,20.0,207.0,630.0
170.0,204.0,192.0,174.0,13942.0,145.0,3.0,174.0,1.0,29.0,159.5,694.0
171.0,211.0,174.0,202.0,13988.0,202.0,8.0,214.0,1.0,12.0,208.0,783.0
179.0,213.0,180.0,181.0,13974.0,163.0,4.0,181.0,1.0,18.0,172.0,721.0
181.0,218.0,181.0,215.0,14040.0,215.0,5.0,248.0,1.0,33.0,231.5,596.0
183.0,219.0,207.0,215.0,13939.0,215.0,10.0,227.0,1.0,12.0,221.0,732.0
181.0,215.0,215.0,200.0,13737.0,200.0,5.0,201.0,1.0,1.0,200.5,589.0
179.0,213.0,198.0,203.0,13987.0,200.0,5.0,202.0,1.0,2.0,201.0,726.0
178.0,211.0,200.0,203.0,6960.0,203.0,5.0,204.0,1.0,1.0,203.5,713.0
174.0,208.0,207.0,182.0,13922.0,182.0,5.0,183.0,1.0,1.0,182.5,581.0
173.0,208.0,184.0,200.0,13895.0,200.0,7.0,204.0,1.0,4.0,202.0,747.0
170.0,202.0,198.0,187.0,13947.0,180.0,5.0,187.0,1.0,7.0,183.5,583.0
166.0,201.0,184.0,174.0,13850.0,174.0,5.0,297.0,1.0,123.0,235.5,641.0
163.0,197.0,167.0,194.0,13945.0,194.0,10.0,234.0,1.0,40.0,214.0,715.0
162.0,197.0,194.0,195.0,13781.0,195.0,12.0,212.0,1.0,17.0,203.5,785.0
159.0,195.0,195.0,161.0,13963.0,143.0,5.0,161.0,1.0,18.0,152.0,719.0
157.0,191.0,161.0,188.0,13895.0,188.0,5.0,190.0,1.0,2.0,189.0,728.0
157.0,189.0,188.0,184.0,6859.0,184.0,5.0,238.0,1.0,54.0,211.0,765.0
156.0,189.0,186.0,187.0,13714.0,186.0,5.0,187.0,1.0,1.0,186.5,656.0
153.0,187.0,186.0,184.0,14080.0,185.0,5.0,283.0,1.0,98.0,234.0,618.0
152.0,186.0,185.0,183.0,14199.0,184.0,3.0,331.0,2.0,147.0,257.5,698.0
153.0,186.0,181.0,185.0,14017.0,185.0,9.0,222.0,1.0,37.0,203.5,756.0
152.0,186.0,185.0,176.0,13967.0,176.0,7.0,182.0,1.0,6.0,179.0,583.0
153.0,187.0,158.0,175.0,13998.0,175.0,5.0,214.0,1.0,39.0,194.5,726.0
154.0,187.0,186.0,184.0,13993.0,185.0,6.0,228.0,2.0,43.0,206.5,411.0
153.0,187.0,186.0,154.0,13988.0,120.0,4.0,154.0,1.0,34.0,137.0,769.0
154.0,186.0,182.0,174.0,7066.0,173.0,4.0,174.0,1.0,1.0,173.5,763.0
154.0,189.0,177.0,187.0,13902.0,187.0,5.0,267.0,1.0,80.0,227.0,703.0
157.0,190.0,187.0,185.0,13865.0,185.0,5.0,220.0,1.0,35.0,202.5,774.0
158.0,192.0,189.0,191.0,13798.0,191.0,5.0,196.0,1.0,5.0,193.5,695.0
161.0,196.0,192.0,165.0,14162.0,148.0,5.0,165.0,1.0,17.0,156.5,746.0
164.0,198.0,176.0,167.0,13838.0,166.0,4.0,167.0,1.0,1.0,166.5,732.0
166.0,200.0,167.0,176.0,13884.0,178.0,9.0,179.0,1.0,1.0,178.5,772.0
166.0,200.0,177.0,199.0,13878.0,199.0,11.0,214.0,1.0,15.0,206.5,686.0
166.0,201.0,200.0,199.0,13958.0,199.0,5.0,299.0,1.0,100.0,249.0,636.0
170.0,203.0,170.0,200.0,6954.0,200.0,5.0,229.0,1.0,29.0,214.5,714.0
169.0,203.0,200.0,173.0,13956.0,131.0,5.0,173.0,2.0,42.0,152.0,771.0
172.0,205.0,173.0,205.0,14026.0,205.0,5.0,232.0,1.0,27.0,218.5,770.0
171.0,205.0,205.0,202.0,13873.0,203.0,4.0,224.0,1.0,21.0,213.5,583.0
173.0,210.0,204.0,210.0,13848.0,210.0,7.0,274.0,2.0,64.0,242.0,672.0
177.0,210.0,210.0,179.0,13946.0,179.0,5.0,192.0,1.0,13.0,185.5,530.0
178.0,214.0,178.0,212.0,14059.0,212.0,5.0,227.0,1.0,15.0,219.5,738.0
178.0,215.0,212.0,211.0,13885.0,211.0,6.0,230.0,1.0,19.0,220.5,789.0
178.0,212.0,209.0,211.0,13881.0,211.0,6.0,222.0,1.0,11.0,216.5,687.0
180.0,215.0,211.0,190.0,6985.0,185.0,5.0,190.0,1.0,5.0,187.5,707.0
182.0,215.0,184.0,189.0,13883.0,189.0,5.0,207.0,1.0,18.0,198.0,661.0
181.0,216.0,182.0,215.0,13981.0,215.0,5.0,247.0,1.0,32.0,231.0,693.0
184.0,219.0,215.0,195.0,13829.0,195.0,4.0,283.0,1.0,88.0,239.0,786.0
181.0,218.0,198.0,189.0,13925.0,107.0,5.0,188.0,1.0,81.0,147.5,782.0
