Low,High,Open,Close,Volume
175.0,211.0,210.0,205.0,13933.0
174.0,208.0,207.0,176.0,14033.0
173.0,208.0,176.0,199.0,14149.0
174.0,208.0,179.0,202.0,7027.0
168.0,203.0,180.0,196.0,14012.0
170.0,204.0,192.0,174.0,13942.0
171.0,211.0,174.0,202.0,13988.0
179.0,213.0,180.0,181.0,13974.0
181.0,218.0,181.0,215.0,14040.0
183.0,219.0,207.0,215.0,13939.0
181.0,215.0,215.0,200.0,13737.0
179.0,213.0,198.0,203.0,13987.0
178.0,211.0,200.0,203.0,6960.0
174.0,208.0,207.0,182.0,13922.0
173.0,208.0,184.0,200.0,13895.0
170.0,202.0,198.0,187.0,13947.0
166.0,201.0,184.0,174.0,13850.0
163.0,197.0,167.0,194.0,13945.0
162.0,197.0,194.0,195.0,13781.0
159.0,195.0,195.0,161.0,13963.0
157.0,191.0,161.0,188.0,13895.0
157.0,189.0,188.0,184.0,6859.0
156.0,189.0,186.0,187.0,13714.0
153.0,187.0,186.0,184.0,14080.0
152.0,186.0,185.0,183.0,14199.0
153.0,186.0,181.0,185.0,14017.0
152.0,186.0,185.0,176.0,13967.0
153.0,187.0,158.0,175.0,13998.0
154.0,187.0,186.0,184.0,13993.0
153.0,187.0,186.0,154.0,13988.0
154.0,186.0,182.0,174.0,7066.0
154.0,189.0,177.0,187.0,13902.0
157.0,190.0,187.0,185.0,13865.0
158.0,192.0,189.0,191.0,13798.0
161.0,196.0,192.0,165.0,14162.0
164.0,198.0,176.0,167.0,13838.0
166.0,200.0,167.0,176.0,13884.0
166.0,200.0,177.0,199.0,13878.0
166.0,201.0,200.0,199.0,13958.0
170.0,203.0,170.0,200.0,6954.0
169.0,203.0,200.0,173.0,13956.0
172.0,205.0,173.0,205.0,14026.0
171.0,205.0,205.0,202.0,13873.0
173.0,210.0,204.0,210.0,13848.0
177.0,210.0,210.0,179.0,13946.0
178.0,214.0,178.0,212.0,14059.0
178.0,215.0,212.0,211.0,13885.0
178.0,212.0,209.0,211.0,13881.0
180.0,215.0,211.0,190.0,6985.0
182.0,215.0,184.0,189.0,13883.0
181.0,216.0,182.0,215.0,13981.0
184.0,219.0,215.0,195.0,13829.0
181.0,218.0,198.0,189.0,13925.0
186.0,219.0,188.0,188.0,13904.0
181.0,217.0,217.0,215.0,14220.0
184.0,217.0,215.0,212.0,13999.0
186.0,222.0,214.0,210.0,13909.0
187.0,222.0,207.0,215.0,6982.0
189.0,232.0,206.0,232.0,14005.0
201.0,246.0,232.0,244.0,13986.0
214.0,252.0,215.0,247.0,14087.0
216.0,251.0,237.0,249.0,13855.0
216.0,258.0,249.0,255.0,14047.0
224.0,263.0,254.0,260.0,14057.0
228.0,274.0,260.0,244.0,13911.0
241.0,279.0,244.0,247.0,14047.0
245.0,282.0,247.0,281.0,7049.0
247.0,284.0,251.0,283.0,13756.0
250.0,289.0,283.0,252.0,13828.0
248.0,288.0,252.0,257.0,14014.0
254.0,297.0,258.0,293.0,14000.0
262.0,305.0,294.0,304.0,13982.0
265.0,305.0,304.0,266.0,14002.0
261.0,302.0,266.0,261.0,13747.0
259.0,295.0,261.0,290.0,13945.0
257.0,292.0,290.0,278.0,7051.0
255.0,296.0,262.0,258.0,13370.0
257.0,294.0,257.0,287.0,13980.0
249.0,288.0,287.0,277.0,14085.0
245.0,283.0,278.0,275.0,14162.0
241.0,276.0,275.0,275.0,13933.0
236.0,275.0,275.0,267.0,13983.0
232.0,270.0,267.0,247.0,13978.0
227.0,264.0,252.0,258.0,14044.0
223.0,259.0,257.0,240.0,6946.0
221.0,259.0,229.0,229.0,13868.0
220.0,259.0,229.0,238.0,14031.0
214.0,252.0,237.0,244.0,13930.0
213.0,256.0,245.0,254.0,13936.0
219.0,259.0,246.0,250.0,13976.0
212.0,251.0,250.0,213.0,14008.0
211.0,249.0,213.0,217.0,13961.0
216.0,253.0,247.0,250.0,13993.0
221.0,261.0,221.0,250.0,6947.0
224.0,259.0,259.0,256.0,13580.0
225.0,262.0,256.0,259.0,14112.0
230.0,265.0,258.0,232.0,14048.0
230.0,266.0,262.0,258.0,13854.0
224.0,262.0,242.0,226.0,13879.0
218.0,256.0,256.0,249.0,14053.0
216.0,251.0,249.0,220.0,13881.0
220.0,265.0,220.0,235.0,13752.0
230.0,265.0,234.0,231.0,7013.0
228.0,266.0,261.0,260.0,13883.0
234.0,273.0,259.0,269.0,13847.0
236.0,279.0,269.0,278.0,13957.0
239.0,279.0,278.0,271.0,13943.0
241.0,278.0,273.0,267.0,13874.0
241.0,280.0,271.0,276.0,13902.0
242.0,281.0,274.0,250.0,14007.0
249.0,286.0,280.0,270.0,13913.0
253.0,290.0,282.0,258.0,6985.0
253.0,290.0,257.0,278.0,13912.0
248.0,287.0,278.0,270.0,13828.0
247.0,283.0,269.0,282.0,13997.0
241.0,283.0,281.0,278.0,13880.0
241.0,279.0,278.0,273.0,14058.0
